cell_barcode,ncounts,hash_umis,pval_demultiplexing,qval_demultiplexing,top_to_second_best_ratio,top_oligo,perturbation,dose_value,well,celltype,cell_line,cancer,disease,tissue_type,organism,perturbation_type,ngenes,percent_mito,percent_ribo,nperts,chembl-ID,dose_value_num,is_control,treatment_group,n_genes
A01_A01_RT_605,1071,9.0,1.0,1.0,inf,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,695,15.12605,4.481793,1,,10.0,False,BMS,695
A01_B02_RT_678,1785,287.0,0.0,0.0,362.850967007964,BMS_10_BH07,BMS,10,BH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1180,8.851541,3.3053222,1,,10.0,False,BMS,1180
A01_B02_RT_710,1903,2.0,2.8604467353310002e-151,8.58134020599301e-150,1.00171821305842,BMS_100_BH05,BMS,100,BH05,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1207,6.04309,0.36784026,1,,100.0,False,BMS,1207
A01_B02_RT_730,10233,7.0,2.12252494288831e-41,4.669554874354269e-40,1.0060396893874,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3754,16.466335,2.3844426,1,,10.0,False,BMS,3754
A02_A01_RT_655,13587,69.0,2.64823049673882e-159,5.29646099347765e-158,3.12984451148758,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,4916,9.48701,1.7663944,1,,10.0,False,BMS,4916
A02_A01_RT_683,2538,73.0,0.0,0.0,85.3861538461538,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1366,9.29866,6.2647753,1,,10.0,False,BMS,1366
A02_A01_RT_690,1653,34.0,1.7155411707e-314,3.77419057564e-313,30.4874371859296,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,963,8.832426,4.597701,1,,10.0,False,BMS,963
A02_B02_RT_396,13061,95.0,0.0,0.0,1.02673611111111,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,5052,11.017533,1.5925274,1,,10.0,False,BMS,5052
A02_B02_RT_630,1015,1.0,1.0,1.0,inf,BMS_50_AG02,BMS,50,AG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,750,5.6157637,0.39408866,1,,50.0,False,BMS,750
A02_B02_RT_694,6952,206.0,0.0,0.0,2.31075371405207,BMS_100_BG01,BMS,100,BG01,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3149,10.586882,1.0069045,1,,100.0,False,BMS,3149
A02_B02_RT_766,3537,83.0,0.0,0.0,1.97838541666667,BMS_10_AG11,BMS,10,AG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1961,9.245123,2.5445292,1,,10.0,False,BMS,1961
A03_A01_RT_397,2123,38.0,0.0,0.0,16.9285714285714,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1374,9.609044,4.4276967,1,,10.0,False,BMS,1374
A03_A01_RT_727,9838,52.0,0.0,0.0,2.07624557464813,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,4233,10.744054,2.4598496,1,,10.0,False,BMS,4233
A03_A01_RT_751,3590,70.0,0.0,0.0,3.50574063617542,BMS_50_BG02,BMS,50,BG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,2147,6.4623957,2.4512534,1,,50.0,False,BMS,2147
A03_B02_RT_396,2781,63.0,0.0,0.0,2.03509423451861,BMS_10_AH07,BMS,10,AH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1618,7.1556993,4.854369,1,,10.0,False,BMS,1618
A03_B02_RT_474,1211,116.0,0.0,0.0,93.0582278481013,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,812,6.936416,6.936416,1,,10.0,False,BMS,812
A03_B02_RT_624,18975,134.0,0.0,0.0,1.85122925896968,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,6192,7.030303,1.5862978,1,,10.0,False,BMS,6192
A04_A01_RT_585,1260,50.0,8.83257694965598e-07,7.94931925469039e-06,46.0,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,752,9.68254,5.6349206,1,,10.0,False,BMS,752
A04_A01_RT_710,11793,86.0,5.450814074038501e-162,1.3081953777692398e-160,2.42902907836373,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,4676,9.3614855,2.6965148,1,,10.0,False,BMS,4676
A04_A01_RT_755,8379,428.0,0.0,0.0,1.16494697105878,BMS_10_BH07,BMS,10,BH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3609,9.404464,2.7688267,1,,10.0,False,BMS,3609
A04_B02_RT_709,1420,21.0,0.999996055918423,1.0,23.3558951965066,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,999,7.816901,2.9577465,1,,10.0,False,BMS,999
A05_A01_RT_485,1484,75.0,0.0,0.0,71.8028909329829,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1047,6.06469,4.245283,1,,10.0,False,BMS,1047
A05_A01_RT_545,1042,46.0,0.0,0.0,47.8307692307692,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,670,10.460652,6.909789,1,,10.0,False,BMS,670
A05_A01_RT_556,1467,70.0,0.0,0.0,65.8160315374507,BMS_10_AG11,BMS,10,AG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,952,11.588275,5.725971,1,,10.0,False,BMS,952
A05_A01_RT_676,2817,34.0,0.0,0.0,30.9106438896189,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1585,8.448705,5.0408235,1,,10.0,False,BMS,1585
