group,names,scores,logfoldchanges,pvals,pvals_adj
0,SPINK2,29.531122,,1.147741076482824e-191,2.295482152965648e-188
0,C1QTNF4,29.268661,,2.5993909858055828e-188,2.5993909858055826e-185
0,CD52,29.17763,,3.728504576040163e-187,2.485669717360109e-184
0,HOPX,28.444843,,5.644152203890633e-178,2.2576608815562532e-175
0,SELL,25.984068,,7.497339541749028e-149,2.1420970119282936e-146
0,HSPA1A,25.307348,,2.651504756073926e-141,6.628761890184816e-139
0,CD37,24.59761,,1.3397643538575617e-133,2.977254119683471e-131
0,HSPA1B,23.719038,,2.2940455013837354e-124,4.5880910027674707e-122
0,MDK,23.184038,,6.597531422369275e-119,1.1995511677035047e-116
0,NRIP1,23.171509,,8.825513924380922e-119,1.4709189873968204e-116
0,GNG11,22.649038,,1.4258825941660177e-113,2.0369751345228823e-111
0,HSPB1,22.297207,,3.932866672650187e-110,4.9160833408127336e-108
0,HLA-DRB1,22.254745,,1.0146728268851585e-109,1.1937327375119511e-107
0,PLAC8,22.223326,,2.0435951723097957e-109,2.27066130256644e-107
0,NPR3,22.160599,,8.244815945618954e-109,8.67875362696732e-107
0,CD99,22.03171,,1.4307211402577097e-107,1.4307211402577096e-105
0,CD74,21.571302,,3.3415198401578825e-103,2.905669426224246e-101
0,DNAJB1,20.900248,,5.326897040970109e-97,4.261517632776087e-95
0,CD48,20.396904,,1.7814529997360985e-92,1.3703484613354604e-90
0,LSP1,20.02476,,3.351287290658937e-89,2.3937766361849552e-87
0,HLA-DRA,19.976887,,8.75144596399755e-89,6.035479975170724e-87
0,LST1,19.942476,,1.7422044733288638e-88,1.1614696488859093e-86
0,HLA-A,19.544592,,4.586362882670902e-85,2.9589437952715495e-83
0,HLA-DPA1,19.327774,,3.136639180821243e-83,1.960399488013277e-81
0,RCSD1,19.325068,,3.305457303466703e-83,2.0033074566464866e-81
0,HLA-B,19.156248,,8.584209102385561e-82,5.049534766109153e-80
0,HLA-DPB1,18.393482,,1.4815361459305195e-75,8.230756366280665e-74
0,GIMAP7,18.22368,,3.348547173448425e-74,1.7623932491833815e-72
0,ITM2C,17.253065,,1.0611802026465858e-66,4.935721872774818e-65
0,MLLT3,17.05273,,3.335796541346385e-65,1.4825762405983934e-63
0,TNFSF10,16.603935,,6.526708646376717e-62,2.837699411468138e-60
0,ZFP36L2,16.511877,,3.0136282710845654e-61,1.2823950089721555e-59
0,HLA-C,16.29751,,1.0279557101397128e-59,4.283148792248803e-58
0,SERPINB1,16.163685,,9.095846412616243e-59,3.638338565046497e-57
0,MSI2,15.949223,,2.884643310533545e-57,1.1094781963590557e-55
0,GBP4,15.548301,,1.6338249001002798e-54,6.16537698151049e-53
0,TXNIP,14.4375,,3.0054607164986635e-47,9.8539695622907e-46
0,CALHM6,14.150786,,1.8468057667144545e-45,5.862875449887157e-44
0,CORO1A,14.025062,,1.095175141082557e-44,3.4224223158829905e-43
0,AVP,13.534864,,9.73614096068503e-42,2.8635708707897143e-40
0,CD69,13.517209,,1.237832253714542e-41,3.58791957598418e-40
0,TRH,13.182876,,1.1011208827308017e-39,3.1017489654388787e-38
0,HLA-DMA,12.213272,,2.640511718745185e-34,6.601279296862962e-33
0,GABPB1-AS1,11.976377,,4.725262853640561e-33,1.1250625842001335e-31
0,HCST,11.839246,,2.4464418954171397e-32,5.689399756784046e-31
0,PTPRC,11.729119,,9.039430778449993e-32,2.0780300640114926e-30
0,SPTBN1,11.420557,,3.301101656577757e-30,7.176307949082082e-29
0,IER5,11.359411,,6.65918498714322e-30,1.4320827929340258e-28
0,HSPA6,11.155249,,6.750396880285715e-29,1.4211361853233084e-27
0,ELK3,11.145297,,7.549165060549262e-29,1.572742720947763e-27
0,BTG2,11.075197,,1.6551568122580722e-28,3.4126944582640665e-27
0,IRF1,11.063965,,1.87617248242293e-28,3.828923433516183e-27
0,HEMGN,10.965387,,5.606000028104058e-28,1.1325252582028399e-26
0,RPS11,10.575366,,3.876612850072301e-26,7.455024711677502e-25
0,JAK1,10.548851,,5.142215757526679e-26,9.7946966810032e-25
0,YPEL3,10.537998,,5.771439990429522e-26,1.0889509415904757e-24
