names,scores,logfoldchanges,pvals,pvals_adj,perturbation_label,compound,direction
GAPDH,14.614762,3.1005256,2.2614361636835492e-48,6.408457800646442e-44,BMS,BMS-345541,up
FTL,13.961505,2.9624023,2.677214990475655e-44,3.793345920004956e-40,BMS,BMS-345541,up
S100A6,13.637466,3.1493537,2.397462760952915e-42,1.838200453414202e-38,BMS,BMS-345541,up
KRT81,13.6317,3.0975769,2.594679163546054e-42,1.838200453414202e-38,BMS,BMS-345541,up
RPL19,13.487812,3.2226074,1.8449368439384528e-41,1.0456364056705574e-37,BMS,BMS-345541,up
G6PD,13.453795,2.7801077,2.92465146268406e-41,1.2108967325058847e-37,BMS,BMS-345541,up
RPS5,13.452134,3.3139024,2.991134564027523e-41,1.2108967325058847e-37,BMS,BMS-345541,up
TMSB10,13.43317,2.9379423,3.8650153659153413e-41,1.3242390794870581e-37,BMS,BMS-345541,up
POLR2L,13.426915,3.4330285,4.2057137819830344e-41,1.3242390794870581e-37,BMS,BMS-345541,up
RPS11,13.238357,3.1371474,5.268903963599894e-40,1.4931020052049379e-36,BMS,BMS-345541,up
CFL1,13.187919,3.0312395,1.0299017281076063e-39,2.65321410646485e-36,BMS,BMS-345541,up
RPLP1,13.014902,2.4258122,1.0067096994045145e-38,2.3696981199173135e-35,BMS,BMS-345541,up
COX8A,13.004834,3.3642697,1.1484781248999755e-38,2.3696981199173135e-35,BMS,BMS-345541,up
ALDH3A1,13.003368,3.031207,1.1707168353039167e-38,2.3696981199173135e-35,BMS,BMS-345541,up
TUBA1B,12.816081,3.8779323,1.3326866668424876e-37,2.5177116509988277e-34,BMS,BMS-345541,up
S100A4,12.780793,3.1210656,2.0991769678555527e-37,3.717904807193166e-34,BMS,BMS-345541,up
RPL37A,12.769161,2.8432345,2.4376767263953536e-37,4.063463710152443e-34,BMS,BMS-345541,up
ALDOA,12.647464,2.9270422,1.1554537153233319e-36,1.8190692991573653e-33,BMS,BMS-345541,up
PFN1,12.565061,2.8162317,3.2862181879808395e-36,4.9013079479474226e-33,BMS,BMS-345541,up
ENO1,12.442093,2.379902,1.5440511552780387e-35,2.1877660819134528e-32,BMS,BMS-345541,up
RPLP2,12.395564,2.6611762,2.7619570053700567e-35,3.727063696103651e-32,BMS,BMS-345541,up
RPS3,12.321177,2.8722787,6.967003805630528e-35,8.97413426563445e-32,BMS,BMS-345541,up
PKM,12.228804,1.8861789,2.1812656546296296e-34,2.6875089617780195e-31,BMS,BMS-345541,up
RPS29,12.13428,2.6568775,6.951825298599651e-34,7.880033012468676e-31,BMS,BMS-345541,up
BSG,12.093031,2.66008,1.1496635018709165e-33,1.2530447813853089e-30,BMS,BMS-345541,up
RPS16,11.971919,2.5559027,4.986164711618361e-33,5.233256873994116e-30,BMS,BMS-345541,up
RPL30,11.868696,2.6258643,1.7212903042952204e-32,1.7420687372542126e-29,BMS,BMS-345541,up
CAPNS1,11.845041,2.8889072,2.2830663325452997e-32,2.2309494390230587e-29,BMS,BMS-345541,up
MT-ND4,11.811807,1.2742035,3.3919480941349745e-32,3.204034169719897e-29,BMS,BMS-345541,up
RPL38,11.669679,2.7050636,1.8210881518863636e-31,1.6647095499405087e-28,BMS,BMS-345541,up
GSTP1,11.6601,3.22582,2.0380359222207952e-31,1.804808186371653e-28,BMS,BMS-345541,up
VIM,11.621978,2.23497,3.186732705029184e-31,2.7365342847005153e-28,BMS,BMS-345541,up
CLU,11.580337,2.0991218,5.184219259886801e-31,4.320894276078593e-28,BMS,BMS-345541,up
RPL18,11.466067,2.8938768,1.9533541453212154e-30,1.5815471362889314e-27,BMS,BMS-345541,up
AKR1B10,11.405268,1.7469274,3.935642939280238e-30,3.0980069337034274e-27,BMS,BMS-345541,up
CST3,11.18455,3.0325627,4.853596185931305e-29,3.619505492550561e-26,BMS,BMS-345541,up
MT-CO3,11.032062,1.3588291,2.676576470595088e-28,1.9448416416339387e-25,BMS,BMS-345541,up
GPX2,11.019648,2.4121647,3.072596935563996e-28,2.176781299000313e-25,BMS,BMS-345541,up
RPS6,11.010263,2.5342016,3.41004311816893e-28,2.3569219971383203e-25,BMS,BMS-345541,up
KRT7,10.956404,2.121173,6.19108453616192e-28,4.177213180613249e-25,BMS,BMS-345541,up
CD151,10.870873,2.7080045,1.5867445537157665e-27,1.045701561934823e-24,BMS,BMS-345541,up
MT-ND2,10.857775,1.4996701,1.831573683303707e-27,1.1796167053968284e-24,BMS,BMS-345541,up
MT-CYB,10.798441,1.2224013,3.500960026430961e-27,2.204671227311124e-24,BMS,BMS-345541,up
CTSD,10.737055,2.4437914,6.818486619036339e-27,4.200484213266343e-24,BMS,BMS-345541,up
FAU,10.68818,2.967241,1.1561701313347197e-26,6.970967911013466e-24,BMS,BMS-345541,up
RPS21,10.642727,2.2607105,1.8852930320598765e-26,1.1130298738023496e-23,BMS,BMS-345541,up
S100A11,10.600695,2.874775,2.957742193714962e-26,1.710540781336624e-23,BMS,BMS-345541,up
TUBB,10.574498,2.9473317,3.9126657669561403e-26,2.217542450080062e-23,BMS,BMS-345541,up
RPL8,10.550745,2.6997614,5.039583223253958e-26,2.800229595697464e-23,BMS,BMS-345541,up
FLNA,10.5225935,2.4327312,6.797634426616084e-26,3.704449315027819e-23,BMS,BMS-345541,up
RPL28,10.424942,2.5707629,1.907756535440492e-25,1.0200378245530691e-22,BMS,BMS-345541,up
RPL32,10.399723,2.874989,2.4865561573582016e-25,1.3048894145780875e-22,BMS,BMS-345541,up
RPL7A,10.378413,3.4988122,3.1089880062144113e-25,1.6018636749109816e-22,BMS,BMS-345541,up
RPS19,10.351044,2.3339233,4.139483168209431e-25,2.0947263217985507e-22,BMS,BMS-345541,up
MT-ATP8,10.313606,1.3913697,6.11625530987646e-25,3.0407446135312123e-22,BMS,BMS-345541,up
AKR1C3,10.273529,1.546701,9.274881841669808e-25,4.531579338435155e-22,BMS,BMS-345541,up
RPL39,10.182622,2.718677,2.3708551169524267e-24,1.1387337678677606e-21,BMS,BMS-345541,up
COX6A1,10.074218,2.670534,7.182972872732155e-24,3.392518087791397e-21,BMS,BMS-345541,up
HMGA1,9.887908,4.0185266,4.697393131314707e-23,2.182208632052396e-20,BMS,BMS-345541,up
P4HB,9.861516,2.0327694,6.11193960086121e-23,2.7935507162774995e-20,BMS,BMS-345541,up
TXN,9.686838,1.8531961,3.4298112788402925e-22,1.5427617780916858e-19,BMS,BMS-345541,up
MT-RNR1,9.643047,0.81047684,5.260296123097246e-22,2.3291604927551526e-19,BMS,BMS-345541,up
PTMS,9.631805,2.604817,5.868890432793933e-22,2.558655647454069e-19,BMS,BMS-345541,up
COX6B1,9.624964,2.4853475,6.272928424043595e-22,2.6933673587961725e-19,BMS,BMS-345541,up
CYC1,9.61685,2.6272726,6.787789820793041e-22,2.8709311633079583e-19,BMS,BMS-345541,up
LGALS1,9.609128,3.5227566,7.316597532246486e-22,3.04908442454119e-19,BMS,BMS-345541,up
SNRPB,9.581954,2.9187233,9.522625411959214e-22,3.910900853972467e-19,BMS,BMS-345541,up
TPI1,9.580096,2.468556,9.695429801877003e-22,3.924986996079864e-19,BMS,BMS-345541,up
CYBA,9.501506,2.8221335,2.068759861238661e-21,8.256974217997348e-19,BMS,BMS-345541,up
MT-CO2,9.465632,1.3831153,2.9179026963912732e-21,1.1484378695879986e-18,BMS,BMS-345541,up
KRT18,9.462211,1.8886429,3.0149917531442065e-21,1.1703950178164456e-18,BMS,BMS-345541,up
NQO1,9.456835,1.615086,3.1740541450740883e-21,1.2154911670690476e-18,BMS,BMS-345541,up
IGFBP4,9.414314,1.6464586,4.761815000306381e-21,1.7992041797157627e-18,BMS,BMS-345541,up
PRDX1,9.409524,2.2436707,4.9838726679522494e-21,1.8583287324267214e-18,BMS,BMS-345541,up
S100A10,9.190273,1.6193347,3.918453283177479e-20,1.4236042197267105e-17,BMS,BMS-345541,up
