compound,direction,rank,pathway,p_value,z_score,combined_score,overlapping_genes,adjusted_p_value
BMS-345541,down,1,Transcriptional misregulation in cancer,8.410287089350677e-05,9.228143992519868,86.5920109705167,MDM2;JMJD1C;MLLT3;PTK2;PBX1;IGF1R,0.008410287089350677
BMS-345541,down,2,Morphine addiction,0.00038087255459327173,12.846365549619556,101.14002358002024,PDE10A;PDE4D;PDE3A;PDE4B,0.019043627729663587
BMS-345541,down,4,Lysine degradation,0.001711313314317076,13.79513888888889,87.88185204776613,ASH1L;SMYD3;CAMKMT,0.042782832857926896
BMS-345541,down,3,Purine metabolism,0.0014094934824700376,8.923943661971832,58.581450120184506,PDE10A;PDE4D;PDE3A;PDE4B,0.042782832857926896
BMS-345541,down,5,Adherens junction,0.0024108241817534684,12.167279411764707,73.3417638674165,PARD3;PTPRM;IGF1R,0.04821648363506937
BMS-345541,down,6,Axon guidance,0.004878959655338468,6.250039563222029,33.26785600819984,PPP3CA;PARD3;EFNA5;PTK2,0.08131599425564114
BMS-345541,down,7,"Parathyroid hormone synthesis, secretion and action",0.007411419853296544,8.018608414239482,39.32913526714848,AKAP13;PDE4D;PDE4B,0.0983106442585198
BMS-345541,down,8,Rap1 signaling pathway,0.008032188964577964,5.392862026528101,26.016774512653253,DOCK4;PARD3;EFNA5;IGF1R,0.0983106442585198
BMS-345541,down,9,cAMP signaling pathway,0.008847957983266782,5.238639383470635,24.766026966648276,PDE10A;PDE4D;PDE3A;PDE4B,0.0983106442585198
BMS-345541,down,10,Human cytomegalovirus infection,0.010170404825623489,5.023006819195717,23.046927892658054,PPP3CA;AKAP13;MDM2;PTK2,0.10170404825623489
BMS-345541,down,11,Endocytosis,0.014886773304894073,4.470013630168105,18.8066085918911,PARD3;PSD3;MDM2;IGF1R,0.1353343027717643
BMS-345541,down,12,Cell adhesion molecules,0.018192593014800484,5.683908045977011,22.773945958341653,CNTN1;PTPRM;NRCAM,0.15160494179000406
BMS-345541,down,13,VEGF signaling pathway,0.02068442276068454,9.549627493391013,37.03703066274529,PPP3CA;PTK2,0.159110944312958
BMS-345541,down,14,Renin secretion,0.027689699933248275,8.120220813739522,29.124753592945943,PPP3CA;PDE3A,0.1977835709517734
BMS-345541,down,15,Melanoma,0.02995269546345745,7.771037181996086,27.261854982251965,MDM2;IGF1R,0.19968463642304968
BMS-345541,down,16,Glioma,0.032286839980381836,7.450553574779509,25.578462417412943,MDM2;IGF1R,0.20179274987738646
BMS-345541,down,17,Human papillomavirus infection,0.03580692031533405,3.3764913640866605,11.2424132522264,PARD3;MDM2;MAML3;PTK2,0.21062894303137678
BMS-345541,down,18,Proteoglycans in cancer,0.04184849258277108,4.068275577557756,12.911484175400812,MDM2;PTK2;IGF1R,0.23169650219856383
BMS-345541,down,19,PI3K-Akt signaling pathway,0.044022335417727126,3.1509054325955734,9.840460893449405,MDM2;EFNA5;PTK2;IGF1R,0.23169650219856383
BMS-345541,down,20,Th1 and Th2 cell differentiation,0.04677082282978011,6.038051750380517,18.491507608192848,PPP3CA;MAML3,0.23385411414890056
BMS-345541,down,21,Prostate cancer,0.05140823660287156,5.718817591925018,16.973203984060188,MDM2;IGF1R,0.24480112668034076
BMS-345541,down,22,C-type lectin receptor signaling pathway,0.058164036681865934,5.3244695138329305,15.145389860325652,PPP3CA;MDM2,0.2643819849175725
BMS-345541,down,23,Selenocompound metabolism,0.061896656139105055,16.815033783783782,46.78428556789713,TXNRD1,0.26911589625697846
BMS-345541,down,24,Protein export,0.08282726211637345,12.225429975429975,30.453521852291058,IMMP2L,0.333711918202288
BMS-345541,down,25,Oocyte meiosis,0.08452220613160638,4.270952432315823,10.552417218169387,PPP3CA;IGF1R,0.333711918202288
BMS-345541,down,26,FoxO signaling pathway,0.08676509873259489,4.2043113518105555,10.277652789970434,MDM2;IGF1R,0.333711918202288
BMS-345541,down,27,Ubiquitin mediated proteolysis,0.09707453453596428,3.92833035537026,9.16195138675909,MDM2;BIRC6,0.35139953528113793
BMS-345541,down,28,MAPK signaling pathway,0.09839186987871862,2.811282932416953,6.518794715244356,PPP3CA;EFNA5;IGF1R,0.35139953528113793
BMS-345541,down,30,SNARE interactions in vesicular transport,0.1166923329201196,8.400760135135135,18.046634236870386,VTI1A,0.38897444306706536
BMS-345541,down,29,Cellular senescence,0.11619368697583526,3.5173456680305994,7.571075171793439,PPP3CA;MDM2,0.38897444306706536
BMS-345541,down,31,Hippo signaling pathway,0.12483913286099482,3.363226410278227,6.99796375998247,PARD3;TEAD1,0.3972954626573998
BMS-345541,down,32,cGMP-PKG signaling pathway,0.12984791655741046,3.2810294728102947,6.697865302997265,PPP3CA;PDE3A,0.3972954626573998
BMS-345541,down,33,Hepatocellular carcinoma,0.13110750267694193,3.2610991912856906,6.6256980438208775,TXNRD1;IGF1R,0.3972954626573998
BMS-345541,down,35,Bladder cancer,0.14289350826497224,6.717905405405405,13.070730430805341,MDM2,0.40587293150382703
BMS-345541,down,36,Tryptophan metabolism,0.14611425534137773,6.55372445616348,12.605213364633421,KYNU,0.40587293150382703
BMS-345541,down,34,Pathways in cancer,0.1384853688238672,2.0737098110484538,4.099704801903215,TXNRD1;MDM2;PTK2;IGF1R,0.40587293150382703
BMS-345541,down,37,Chemokine signaling pathway,0.1621154981919175,2.8457101658255226,5.17761667835039,PARD3;PTK2,0.43814999511329056
BMS-345541,down,39,Ovarian steroidogenesis,0.1745688066121261,5.371621621621622,9.375823410278914,IGF1R,0.4476123246464772
