cell_id,UMAP_1,UMAP_2,leiden,treatment_group,perturbation,dose_value,percent_mito,ngenes,cell_line,disease
A01_A01_RT_605,9.26473,-2.5644913,0,BMS,BMS,10.0,15.12605,695,A549,lung adenocarcinoma
A01_B02_RT_678,8.999613,-1.4738789,0,BMS,BMS,10.0,8.851541,1180,A549,lung adenocarcinoma
A01_B02_RT_710,2.5490382,8.57852,1,BMS,BMS,100.0,6.04309,1207,A549,lung adenocarcinoma
A01_B02_RT_730,9.438021,5.285429,2,BMS,BMS,10.0,16.466335,3754,A549,lung adenocarcinoma
A02_A01_RT_655,7.565269,1.8090254,0,BMS,BMS,10.0,9.48701,4916,A549,lung adenocarcinoma
A02_A01_RT_683,9.153098,-2.4637473,0,BMS,BMS,10.0,9.29866,1366,A549,lung adenocarcinoma
A02_A01_RT_690,8.986378,-2.3261018,0,BMS,BMS,10.0,8.832426,963,A549,lung adenocarcinoma
A02_B02_RT_396,6.607413,2.2178063,0,BMS,BMS,10.0,11.017533,5052,A549,lung adenocarcinoma
A02_B02_RT_630,-0.1837924,6.156781,1,BMS,BMS,50.0,5.6157637,750,A549,lung adenocarcinoma
A02_B02_RT_694,4.3067713,1.795473,3,BMS,BMS,100.0,10.586882,3149,A549,lung adenocarcinoma
A02_B02_RT_766,3.785199,-0.09467262,3,BMS,BMS,10.0,9.245123,1961,A549,lung adenocarcinoma
A03_A01_RT_397,8.222703,-0.01363312,0,BMS,BMS,10.0,9.609044,1374,A549,lung adenocarcinoma
A03_A01_RT_727,7.9413943,0.58871186,0,BMS,BMS,10.0,10.744054,4233,A549,lung adenocarcinoma
A03_A01_RT_751,8.964224,3.5950212,4,BMS,BMS,50.0,6.4623957,2147,A549,lung adenocarcinoma
A03_B02_RT_396,9.372994,-1.1352553,0,BMS,BMS,10.0,7.1556993,1618,A549,lung adenocarcinoma
A03_B02_RT_474,7.114295,-0.8480603,0,BMS,BMS,10.0,6.936416,812,A549,lung adenocarcinoma
A03_B02_RT_624,9.118823,4.8620467,4,BMS,BMS,10.0,7.030303,6192,A549,lung adenocarcinoma
A04_A01_RT_585,9.138535,-2.6515145,0,BMS,BMS,10.0,9.68254,752,A549,lung adenocarcinoma
A04_A01_RT_710,5.973627,3.4106984,5,BMS,BMS,10.0,9.3614855,4676,A549,lung adenocarcinoma
A04_A01_RT_755,9.044488,4.9008307,2,BMS,BMS,10.0,9.404464,3609,A549,lung adenocarcinoma
A04_B02_RT_709,8.152313,-0.25431857,0,BMS,BMS,10.0,7.816901,999,A549,lung adenocarcinoma
A05_A01_RT_485,9.049574,-1.3649831,0,BMS,BMS,10.0,6.06469,1047,A549,lung adenocarcinoma
A05_A01_RT_545,8.960204,-2.6115701,0,BMS,BMS,10.0,10.460652,670,A549,lung adenocarcinoma
A05_A01_RT_556,8.90258,-1.7647845,0,BMS,BMS,10.0,11.588275,952,A549,lung adenocarcinoma
A05_A01_RT_676,9.830046,-1.4002846,0,BMS,BMS,10.0,8.448705,1585,A549,lung adenocarcinoma
A05_B02_RT_385,9.261013,-2.1502044,0,BMS,BMS,10.0,6.8793235,1458,A549,lung adenocarcinoma
A05_B02_RT_397,-0.8683438,9.422766,1,BMS,BMS,10.0,7.449089,1178,A549,lung adenocarcinoma
A05_B02_RT_736,5.2830424,3.5385487,5,BMS,BMS,100.0,7.4257426,2506,A549,lung adenocarcinoma
